fold_test_nlr,phenotype,confidence,n_train,n_test,mcc,f1,n_pos,n_neg,pool
D1__ChEhDap__confirmed,D1,confirmed,264,11,,0.0,7,4,mean
D2__CsDfp__confirmed,D2,confirmed,264,11,,0.0,5,6,mean
D2__PaYp__confirmed,D2,confirmed,264,11,,0.0,5,6,mean
E1__ChEhDap__confirmed,E1,confirmed,264,11,0.375,0.5454545454545454,3,8,mean
E1__CmEmm__confirmed,E1,confirmed,264,11,0.28867513459481287,0.5,3,8,mean
E1__FJ897789__confirmed,E1,confirmed,264,11,,0.42857142857142855,3,8,mean
E1__PaWa100p__inferred,E1,inferred,264,11,0.5590169943749475,0.6666666666666666,3,8,mean
E1__PaWa87p__inferred,E1,inferred,264,11,0.8100925873009825,0.8571428571428571,3,8,mean
E1__PaYp__confirmed,E1,confirmed,264,11,0.6708203932499369,0.7499999999999999,3,8,mean
E2__CoEcp__confirmed,E2,confirmed,264,11,0.5163977794943223,0.8,9,2,mean
E3__CoEfp__confirmed,E3,confirmed,264,11,0.6708203932499369,0.8571428571428571,6,5,mean
E3__PaWa46p__inferred,E3,inferred,264,11,1.0,1.0,6,5,mean
E3__PaWa58m__inferred,E3,inferred,264,11,1.0,1.0,6,5,mean
E3__PaZp__confirmed,E3,confirmed,264,11,1.0,1.0,6,5,mean
d3__CmEmm__confirmed,d3,confirmed,264,11,,0.0,0,11,mean
d3__PaWa100p__inferred,d3,inferred,264,11,,0.0,0,11,mean
d3__PaWa137m__inferred,d3,inferred,264,11,,0.0,0,11,mean
d3__PaWa21m__inferred,d3,inferred,264,11,,0.0,0,11,mean
d3__PaWa53m__inferred,d3,inferred,264,11,,0.0,0,11,mean
d3__PaWa58m__inferred,d3,inferred,264,11,,0.0,0,11,mean
d3__PaZp__confirmed,d3,confirmed,264,11,,0.0,0,11,mean
e4__PaTgp__inferred,e4,inferred,264,11,,0.0,0,11,mean
e4__PaWa137m__inferred,e4,inferred,264,11,,0.0,0,11,mean
e4__PaWa28m__inferred,e4,inferred,264,11,,0.0,0,11,mean
e4__PaWa63p__confirmed,e4,confirmed,264,11,,0.0,0,11,mean
D1__ChEhDap__confirmed,D1,confirmed,264,11,,0.0,7,4,max
D2__CsDfp__confirmed,D2,confirmed,264,11,,0.0,5,6,max
D2__PaYp__confirmed,D2,confirmed,264,11,,0.0,5,6,max
E1__ChEhDap__confirmed,E1,confirmed,264,11,1.0,1.0,3,8,max
E1__CmEmm__confirmed,E1,confirmed,264,11,1.0,1.0,3,8,max
E1__FJ897789__confirmed,E1,confirmed,264,11,,0.42857142857142855,3,8,max
E1__PaWa100p__inferred,E1,inferred,264,11,1.0,1.0,3,8,max
E1__PaWa87p__inferred,E1,inferred,264,11,1.0,1.0,3,8,max
E1__PaYp__confirmed,E1,confirmed,264,11,1.0,1.0,3,8,max
E2__CoEcp__confirmed,E2,confirmed,264,11,0.5163977794943223,0.8,9,2,max
E3__CoEfp__confirmed,E3,confirmed,264,11,0.8280786712108251,0.923076923076923,6,5,max
E3__PaWa46p__inferred,E3,inferred,264,11,1.0,1.0,6,5,max
E3__PaWa58m__inferred,E3,inferred,264,11,1.0,1.0,6,5,max
E3__PaZp__confirmed,E3,confirmed,264,11,1.0,1.0,6,5,max
d3__CmEmm__confirmed,d3,confirmed,264,11,,0.0,0,11,max
d3__PaWa100p__inferred,d3,inferred,264,11,,0.0,0,11,max
d3__PaWa137m__inferred,d3,inferred,264,11,,0.0,0,11,max
d3__PaWa21m__inferred,d3,inferred,264,11,,0.0,0,11,max
d3__PaWa53m__inferred,d3,inferred,264,11,,0.0,0,11,max
d3__PaWa58m__inferred,d3,inferred,264,11,,0.0,0,11,max
d3__PaZp__confirmed,d3,confirmed,264,11,,0.0,0,11,max
e4__PaTgp__inferred,e4,inferred,264,11,,0.0,0,11,max
e4__PaWa137m__inferred,e4,inferred,264,11,,0.0,0,11,max
e4__PaWa28m__inferred,e4,inferred,264,11,,0.0,0,11,max
e4__PaWa63p__confirmed,e4,confirmed,264,11,,0.0,0,11,max
