fold_test_nlr,phenotype,confidence,n_train,n_test,mcc,best_inner_mcc,best_max_depth,best_min_child_weight,best_learning_rate,best_n_estimators,pool
D1__ChEhDap__confirmed,D1,confirmed,264,11,,0.7938814440972826,4,3,0.1,400,mean
D2__CsDfp__confirmed,D2,confirmed,264,11,,0.7252541873546352,2,1,0.05,400,mean
D2__PaYp__confirmed,D2,confirmed,264,11,,0.7813710039452791,4,3,0.1,200,mean
E1__ChEhDap__confirmed,E1,confirmed,264,11,1.0,0.6458795179688716,5,3,0.1,600,mean
E1__CmEmm__confirmed,E1,confirmed,264,11,0.769800358919501,0.6332014731848807,5,5,0.05,400,mean
E1__FJ897789__confirmed,E1,confirmed,264,11,0.5163977794943222,0.6442937711877845,4,1,0.1,200,mean
E1__PaWa100p__inferred,E1,inferred,264,11,1.0,0.6341347079194019,5,3,0.1,400,mean
E1__PaWa87p__inferred,E1,inferred,264,11,1.0,0.6168891044191485,5,3,0.05,600,mean
E1__PaYp__confirmed,E1,confirmed,264,11,1.0,0.627085968162818,3,3,0.1,600,mean
E2__CoEcp__confirmed,E2,confirmed,264,11,0.14907119849998599,0.6557821169829904,2,3,0.1,200,mean
E3__CoEfp__confirmed,E3,confirmed,264,11,1.0,0.5851126532026224,2,3,0.1,400,mean
E3__PaWa46p__inferred,E3,inferred,264,11,1.0,0.5851126532026224,2,3,0.1,400,mean
E3__PaWa58m__inferred,E3,inferred,264,11,1.0,0.5851126532026224,2,3,0.1,400,mean
E3__PaZp__confirmed,E3,confirmed,264,11,1.0,0.5851126532026224,2,3,0.1,400,mean
d3__CmEmm__confirmed,d3,confirmed,264,11,,0.5931522827087663,2,1,0.03,600,mean
d3__PaWa100p__inferred,d3,inferred,264,11,,0.6674505069136724,2,3,0.05,400,mean
d3__PaWa137m__inferred,d3,inferred,264,11,,0.7182049154876475,2,1,0.05,600,mean
d3__PaWa21m__inferred,d3,inferred,264,11,,0.7015631377487704,2,3,0.1,200,mean
d3__PaWa53m__inferred,d3,inferred,264,11,,0.6901545735603245,2,1,0.05,400,mean
d3__PaWa58m__inferred,d3,inferred,264,11,,0.7377077306457149,2,1,0.05,400,mean
d3__PaZp__confirmed,d3,confirmed,264,11,,0.754480703337491,3,3,0.03,400,mean
e4__PaTgp__inferred,e4,inferred,264,11,,0.7302222497203937,2,3,0.05,400,mean
e4__PaWa137m__inferred,e4,inferred,264,11,,0.7302222497203937,2,3,0.05,400,mean
e4__PaWa28m__inferred,e4,inferred,264,11,,0.7729020317013012,2,3,0.05,400,mean
e4__PaWa63p__confirmed,e4,confirmed,264,11,,0.7302222497203937,2,3,0.05,600,mean
D1__ChEhDap__confirmed,D1,confirmed,264,11,,0.800972045425451,3,1,0.03,600,max
D2__CsDfp__confirmed,D2,confirmed,264,11,,0.7367320656546237,4,1,0.03,400,max
D2__PaYp__confirmed,D2,confirmed,264,11,,0.7997743927915331,4,1,0.05,600,max
E1__ChEhDap__confirmed,E1,confirmed,264,11,1.0,0.6762493004924158,2,1,0.1,200,max
E1__CmEmm__confirmed,E1,confirmed,264,11,1.0,0.6229177815586411,2,1,0.1,400,max
E1__FJ897789__confirmed,E1,confirmed,264,11,0.5163977794943222,0.7038469780110826,4,3,0.1,400,max
E1__PaWa100p__inferred,E1,inferred,264,11,1.0,0.6821843009898553,3,1,0.03,400,max
E1__PaWa87p__inferred,E1,inferred,264,11,1.0,0.6564852960069442,5,1,0.05,400,max
E1__PaYp__confirmed,E1,confirmed,264,11,1.0,0.6716812605701996,5,1,0.03,400,max
E2__CoEcp__confirmed,E2,confirmed,264,11,0.5163977794943223,0.6909011813058207,2,1,0.05,400,max
E3__CoEfp__confirmed,E3,confirmed,264,11,1.0,0.6638842998815606,3,1,0.03,400,max
E3__PaWa46p__inferred,E3,inferred,264,11,1.0,0.6767217133504918,3,3,0.03,600,max
E3__PaWa58m__inferred,E3,inferred,264,11,1.0,0.6767217133504918,3,3,0.03,600,max
E3__PaZp__confirmed,E3,confirmed,264,11,1.0,0.6767217133504918,3,3,0.03,600,max
d3__CmEmm__confirmed,d3,confirmed,264,11,,0.6823103434884927,2,1,0.1,200,max
d3__PaWa100p__inferred,d3,inferred,264,11,,0.7188396445960022,3,3,0.1,600,max
d3__PaWa137m__inferred,d3,inferred,264,11,,0.7712119315157866,2,1,0.05,600,max
d3__PaWa21m__inferred,d3,inferred,264,11,,0.7712119315157866,2,3,0.05,600,max
d3__PaWa53m__inferred,d3,inferred,264,11,,0.7251106466520998,2,3,0.03,600,max
d3__PaWa58m__inferred,d3,inferred,264,11,,0.7778229282616815,2,1,0.05,400,max
d3__PaZp__confirmed,d3,confirmed,264,11,,0.7188396445960022,2,3,0.05,600,max
e4__PaTgp__inferred,e4,inferred,264,11,,0.7122286478501073,2,3,0.05,600,max
e4__PaWa137m__inferred,e4,inferred,264,11,,0.7122286478501073,2,3,0.05,600,max
e4__PaWa28m__inferred,e4,inferred,264,11,,0.7890031314565707,2,3,0.05,600,max
e4__PaWa63p__confirmed,e4,confirmed,264,11,,0.7097313712540063,2,3,0.05,600,max
